,riding,Ave_Age_All,Ave_Age_Male,Ave_Age_Female,bike_rate,pop,NoPostsecondary_all,NoPostsecondary_male,NoPostsecondary_female,french,HouseNeed,income_all,income_male,income_female,unemploy_all,unemploy_male,unemploy_female,Constituency,Province / Territory,First Name,Last Name,Political Affiliation
91,Outremont,38,36.6,39.3,6.8,115050,24.7,26.3,23.1,46.4,3.4,36400,36800,36000,11.5,11.4,11.5,Outremont,Quebec,Rachel,Bendayan,Liberal
200,Oxford,41.8,40.8,42.7,0.4,121780,52.9,55.5,50.4,0.9,1.9,42800,50000,36800,10.4,9.6,11.3,Oxford,Ontario,Arpan,Khanna,Conservative
92,Papineau,39,38.5,39.6,6.2,110810,38.8,39.9,37.6,47.2,4.9,33200,34400,32400,11,12.1,9.7,Papineau,Quebec,Marjorie,Michel,Liberal
301,Parkland,40,39.5,40.5,0.1,114685,50.8,50.7,51,1.5,6.3,46000,60400,36400,10.7,10.7,10.7,Parkland,Alberta,Dane,Lloyd,Conservative
201,Parry Sound--Muskoka,48.9,48.3,49.5,0.5,104505,48.4,49.4,47.5,1.2,7.9,39200,44800,34800,10.6,10.3,10.9,Parry Sound—Muskoka,Ontario,Scott,Aitchison,Conservative
302,Peace River--Westlock,37.5,37.1,38,0.3,113905,60.6,61.4,59.8,2.7,8.6,40800,50800,34000,10.3,11.1,9.4,Peace River—Westlock,Alberta,Arnold,Viersen,Conservative
202,Perth--Wellington,41.5,40.4,42.6,1.2,113930,55.2,57.9,52.6,0.5,2.6,42400,49200,36400,7.1,6.3,7.9,Perth—Wellington,Ontario,John,Nater,Conservative
203,Peterborough,44.9,43.7,46,1,128345,45.5,48.6,42.8,1,4.5,38800,42800,35600,13.2,12.3,14.2,Peterborough,Ontario,Emma,Harrison,Liberal
204,Pickering--Brooklin,40,39,40.9,0.3,122435,39.7,40.3,39.1,1.1,6.9,46800,53200,42000,12.4,11.8,13,Pickering—Brooklin,Ontario,Juanita,Nathan,Liberal
93,Pierre-Boucher--Les Patriotes--Verchères,42.4,41.6,43.2,0.9,103020,34.3,35.2,33.4,91.9,1.3,50400,58000,44000,4.9,4.9,5,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Xavier,Barsalou-Duval,Bloc Québécois
